lang_name	keep_rows
kpr_Latn	268
sig_Latn	274
ory_Latn	268
mxp_Latn	268
lef_Latn	265
mlp_Latn	279
soq_Latn	283
cre_Latn	257
aey_Latn	274
qvs_Latn	273
sur_Latn	259
knc_Arab	263
suk_Latn	252
cax_Latn	248
alq_Latn	244
chw_Latn	243
dww_Latn	269
gog_Latn	254
viv_Latn	262
qvw_Latn	260
ted_Latn	268
yuj_Latn	266
ziw_Latn	262
kto_Latn	267
mcq_Latn	250
sim_Latn	265
koi_Latn	248
lue_Latn	253
cya_Latn	249
knk_Latn	244
tpt_Latn	243
taj_Deva	244
blz_Latn	245
mil_Latn	237
kde_Latn	251
kpz_Latn	244
hag_Latn	236
vun_Latn	252
kus_Latn	248
lid_Latn	248
tos_Latn	245
bfd_Latn	237
chd_Latn	248
cle_Latn	236
yon_Latn	243
bgs_Latn	236
lsm_Latn	234
msb_Latn	215
ota_Arab	233
guj_Latn	239
mxq_Latn	215
lfn_Cyrl	235
myw_Latn	239
aso_Latn	229
esu_Latn	235
kdi_Latn	236
bhp_Latn	223
mfz_Latn	231
sgw_Ethi	236
xsi_Latn	227
gun_Latn	234
kxc_Ethi	208
mux_Latn	232
otw_Latn	229
cjp_Latn	224
nyo_Latn	237
zia_Latn	238
cco_Latn	216
ojb_Cans	227
ktu_Latn	217
cpy_Latn	233
txu_Latn	205
bjr_Latn	223
bud_Latn	226
ken_Latn	205
bzh_Latn	217
ipi_Latn	215
crx_Latn	227
cko_Latn	207
gnd_Latn	205
kix_Latn	223
mmx_Latn	207
esk_Latn	209
kud_Latn	215
toh_Latn	210
byx_Latn	199
mtp_Latn	209
kpv_Latn	174
kyz_Latn	212
lmp_Latn	204
tiy_Latn	206
ccp_Latn	197
sbl_Latn	213
tcs_Latn	206
usp_Latn	207
buk_Latn	194
hvn_Latn	193
amm_Latn	209
kzj_Latn	204
gng_Latn	199
ter_Latn	210
kij_Latn	210
ngl_Latn	207
pab_Latn	197
pad_Latn	195
kca_Cyrl	194
meq_Latn	189
kas_Cyrl	193
niq_Latn	189
dah_Latn	186
lia_Latn	196
kss_Latn	193
bch_Latn	178
khz_Latn	191
nop_Latn	196
yle_Latn	191
ain_Latn	190
pem_Latn	187
yml_Latn	189
taq_Tfng	195
gaw_Latn	182
kze_Latn	185
tby_Latn	192
cso_Latn	182
ifb_Latn	189
rki_Mymr	177
aly_Latn	182
kmu_Latn	181
mhl_Latn	193
kmo_Latn	189
mva_Latn	184
opm_Latn	180
rtm_Latn	174
xtn_Latn	178
dgr_Latn	183
ksr_Latn	181
snp_Latn	182
tvk_Latn	160
zpv_Latn	183
hrx_Latn	173
kwj_Latn	172
muh_Latn	175
kak_Latn	152
kpw_Latn	174
akb_Latn	168
ybb_Latn	162
kjs_Latn	158
wuv_Latn	177
laj_Latn	161
ogo_Latn	174
nim_Latn	170
czt_Latn	159
aoz_Latn	169
rro_Latn	174
yuw_Latn	170
heg_Latn	175
mrw_Latn	163
zac_Latn	159
kpf_Latn	171
leu_Latn	174
nwi_Latn	157
awx_Latn	151
gso_Latn	158
keo_Latn	165
tte_Latn	171
ceg_Latn	163
nhy_Latn	155
bhw_Latn	163
gnw_Latn	166
nin_Latn	146
xmv_Latn	158
crm_Cans	161
mxv_Latn	161
ubr_Latn	161
gld_Cyrl	156
bzi_Thai	155
ann_Latn	156
lac_Latn	152
mej_Latn	151
zpc_Latn	156
dje_Latn	159
caq_Latn	163
guk_Ethi	155
wos_Latn	150
msm_Latn	151
zaw_Latn	141
cap_Latn	153
mox_Latn	153
zab_Latn	135
mca_Latn	154
wrs_Latn	156
hae_Latn	158
nss_Latn	136
rav_Deva	149
uvh_Latn	154
dga_Latn	152
ppo_Latn	151
nog_Latn	122
arq_Arab	145
bim_Latn	151
lwg_Latn	153
kms_Latn	139
kne_Latn	152
tkl_Latn	146
ady_Latn	117
caf_Latn	148
zat_Latn	135
aba_Latn	147
chf_Latn	147
lew_Latn	140
npl_Latn	145
uvl_Latn	150
cdo_Hani	141
rmq_Latn	140
mek_Latn	147
snc_Latn	147
nsn_Latn	129
amn_Latn	147
abz_Latn	140
cek_Latn	133
ong_Latn	148
txq_Latn	144
bjp_Latn	119
gvf_Latn	131
crk_Cans	142
snf_Latn	133
nhg_Latn	121
kqw_Latn	130
mic_Latn	144
mie_Latn	134
nus_Latn	130
plu_Latn	135
idu_Latn	115
sll_Latn	137
thl_Deva	135
bef_Latn	132
kwd_Latn	120
mqy_Latn	126
caa_Latn	132
aia_Latn	129
wer_Latn	128
agm_Latn	127
mbl_Latn	131
mbs_Latn	130
adh_Latn	115
hub_Latn	131
mav_Latn	127
nab_Latn	124
bqp_Latn	118
guo_Latn	127
auy_Latn	123
big_Latn	119
nii_Latn	122
row_Latn	122
kim_Cyrl	105
mti_Latn	124
otm_Latn	124
prg_Latn	127
icr_Latn	113
mcp_Latn	118
tbo_Latn	123
chy_Latn	115
oji_Latn	120
kpx_Latn	126
lbb_Latn	114
pao_Latn	110
xuo_Latn	124
zgh_Tfng	122
wls_Latn	116
aca_Latn	112
apy_Latn	113
wnc_Latn	119
ssg_Latn	121
eve_Cyrl	108
mee_Latn	116
yut_Latn	115
chr_Latn	113
kxm_Thai	111
mur_Latn	117
lad_Hebr	107
mcd_Latn	118
cto_Latn	118
mqj_Latn	112
usa_Latn	108
emi_Latn	115
liv_Latn	110
guz_Latn	116
tgp_Latn	108
ncl_Latn	110
azg_Latn	110
kck_Latn	95
apb_Latn	103
kbm_Latn	106
sgz_Latn	101
wsk_Latn	108
gbm_Deva	104
csw_Latn	102
ctp_Latn	108
eri_Latn	90
vid_Latn	111
bsq_Latn	102
dak_Latn	84
tif_Latn	108
xsr_Deva	102
mwp_Latn	103
roo_Latn	100
wbp_Latn	102
gdn_Latn	102
tgo_Latn	101
zpm_Latn	100
mih_Latn	102
qvc_Latn	102
tod_Latn	100
abn_Latn	103
cao_Latn	91
kbc_Latn	104
kog_Latn	104
moh_Latn	96
leh_Latn	100
nsu_Latn	96
