English_Name;Native_Name;Glottocode;near_ISO6393;639-3;639-2_B;639-2_T;639-1;Scope;Language_Type;#L1_Speakers
Sado;0;sado1237;jpn;0;0;0;0;0;0;Unknow
Toyama;0;toya1237;jpn;0;0;0;0;0;0;Unknow
Banshū;0;bans1249;jpn;0;0;0;0;0;0;Unknow
Kobe (Japonic);0;kobe1244;jpn;0;0;0;0;0;0;Unknow
Kyoto;0;kyot1238;jpn;0;0;0;0;0;0;Unknow
Maizuru;0;maiz1237;jpn;0;0;0;0;0;0;Unknow
Mie;0;miee1237;jpn;0;0;0;0;0;0;Unknow
Oku-yoshino;0;okuy1237;jpn;0;0;0;0;0;0;Unknow
Ōsaka;0;osak1237;jpn;0;0;0;0;0;0;Unknow
Shiga;0;shig1237;jpn;0;0;0;0;0;0;Unknow
Wakasa;0;waka1278;jpn;0;0;0;0;0;0;Unknow
Wakayama;0;waka1279;jpn;0;0;0;0;0;0;Unknow
Gion;0;gion1237;jpn;0;0;0;0;0;0;Unknow
Gosho;0;gosh1237;jpn;0;0;0;0;0;0;Unknow
Muromachi;0;muro1241;jpn;0;0;0;0;0;0;Unknow
Iga;0;igaa1237;jpn;0;0;0;0;0;0;Unknow
Ise;0;isee1237;jpn;0;0;0;0;0;0;Unknow
Shima;0;shim1252;jpn;0;0;0;0;0;0;Unknow
Kawachi;0;kawa1282;jpn;0;0;0;0;0;0;Unknow
Semba;0;semb1241;jpn;0;0;0;0;0;0;Unknow
Senshū;0;sens1241;jpn;0;0;0;0;0;0;Unknow
Hata-ben;0;hata1244;jpn;0;0;0;0;0;0;Unknow
Iyo-ben;0;iyob1237;jpn;0;0;0;0;0;0;Unknow
Kagawa-ben;0;kaga1258;jpn;0;0;0;0;0;0;Unknow
Tokushima-ben;0;toku1245;jpn;0;0;0;0;0;0;Unknow
Izumo-ben;0;izum1237;jpn;0;0;0;0;0;0;Unknow
Yonago-ben;0;yona1240;jpn;0;0;0;0;0;0;Unknow
Northern Ryukyuan;0;nort3255;0;0;0;0;0;0;0;Unknow
Southern Ryukyu;0;ryuk1244;0;0;0;0;0;0;0;Unknow
Amami;0;amam1245;0;0;0;0;0;0;0;Unknow
Okinawa;0;okin1244;0;0;0;0;0;0;0;Unknow
Kikai;0;kika1239;0;kzg;0;0;0;I;L;Unknow
Nuclear Amami;0;nucl1644;0;0;0;0;0;0;0;Unknow
Onotsu;0;onot1238;kzg;0;0;0;0;0;0;Unknow
Okinoerabu-Tokunoshima;0;okin1245;0;0;0;0;0;0;0;Unknow
